"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","709","Создание заказа с различными цветами","tests","Wed Jun 10 12:25:06 YEKT 2026","passed","Wed Jun 10 12:25:06 YEKT 2026","TestCreateOrder","test_create_order","",""
"","707","Ошибка при отсутствии обязательного поля","tests","Wed Jun 10 12:25:04 YEKT 2026","passed","Wed Jun 10 12:25:04 YEKT 2026","TestCreateCourier","test_create_courier","",""
"","1125","Ошибка авторизации при отсутствии обязательного поля","tests","Wed Jun 10 12:25:30 YEKT 2026","passed","Wed Jun 10 12:25:31 YEKT 2026","TestLoginCourier","test_login_courier","",""
"","707","Создание заказа с различными цветами","tests","Wed Jun 10 12:25:07 YEKT 2026","passed","Wed Jun 10 12:25:08 YEKT 2026","TestCreateOrder","test_create_order","",""
"","2756","Успешное создание курьера","tests","Wed Jun 10 12:24:58 YEKT 2026","passed","Wed Jun 10 12:25:00 YEKT 2026","TestCreateCourier","test_create_courier","",""
"","1118","Успешная авторизация курьера","tests","Wed Jun 10 12:25:25 YEKT 2026","passed","Wed Jun 10 12:25:26 YEKT 2026","TestLoginCourier","test_login_courier","",""
"","1126","Ошибка авторизации с неправильными данными","tests","Wed Jun 10 12:26:39 YEKT 2026","passed","Wed Jun 10 12:26:40 YEKT 2026","TestLoginCourier","test_login_courier","",""
"","706","Создание заказа с различными цветами","tests","Wed Jun 10 12:25:06 YEKT 2026","passed","Wed Jun 10 12:25:07 YEKT 2026","TestCreateOrder","test_create_order","",""
"","15763","Получение списка всех заказов","tests","Wed Jun 10 12:25:08 YEKT 2026","passed","Wed Jun 10 12:25:24 YEKT 2026","TestGetOrdersList","test_get_orders","",""
"","3271","Нельзя создать двух одинаковых курьеров","tests","Wed Jun 10 12:25:00 YEKT 2026","passed","Wed Jun 10 12:25:04 YEKT 2026","TestCreateCourier","test_create_courier","",""
"","710","Ошибка при отсутствии обязательного поля","tests","Wed Jun 10 12:25:04 YEKT 2026","passed","Wed Jun 10 12:25:05 YEKT 2026","TestCreateCourier","test_create_courier","",""
"","704","Создание заказа с различными цветами","tests","Wed Jun 10 12:25:05 YEKT 2026","passed","Wed Jun 10 12:25:06 YEKT 2026","TestCreateOrder","test_create_order","",""
"","61061","Ошибка авторизации при отсутствии обязательного поля","tests","Wed Jun 10 12:25:34 YEKT 2026","failed","Wed Jun 10 12:26:36 YEKT 2026","TestLoginCourier","test_login_courier","",""
